,date,precipitation,temp_max,temp_min,wind,weather,year,month,day,weather_encoded
170,2012-06-19,1.0,19.4,10.0,3.0,rain,2012,June,Tuesday,2
171,2012-06-20,0.0,24.4,10.0,3.0,sun,2012,June,Wednesday,4
172,2012-06-21,0.0,23.9,11.7,2.1,sun,2012,June,Thursday,4
173,2012-06-22,15.7,13.9,11.7,1.9,rain,2012,June,Friday,2
174,2012-06-23,8.6,15.6,9.4,2.5,rain,2012,June,Saturday,2
175,2012-06-24,0.0,19.4,9.4,2.0,drizzle,2012,June,Sunday,0
176,2012-06-25,0.5,19.4,11.1,3.1,rain,2012,June,Monday,2
177,2012-06-26,0.0,18.3,10.6,3.4,rain,2012,June,Tuesday,2
178,2012-06-27,0.0,22.8,8.9,1.8,sun,2012,June,Wednesday,4
179,2012-06-28,0.0,22.2,11.7,2.5,rain,2012,June,Thursday,2
180,2012-06-29,0.3,21.7,15.0,1.9,rain,2012,June,Friday,2
181,2012-06-30,3.0,20.0,13.3,2.4,rain,2012,June,Saturday,2
182,2012-07-01,0.0,20.0,12.2,2.3,rain,2012,July,Sunday,2
183,2012-07-02,2.0,18.9,11.7,2.1,rain,2012,July,Monday,2
184,2012-07-03,5.8,18.3,10.6,6.0,rain,2012,July,Tuesday,2
185,2012-07-04,0.0,20.6,9.4,3.8,sun,2012,July,Wednesday,4
186,2012-07-05,0.0,24.4,10.6,3.1,drizzle,2012,July,Thursday,0
187,2012-07-06,0.0,25.0,11.1,2.1,sun,2012,July,Friday,4
188,2012-07-07,0.0,26.7,12.8,3.8,sun,2012,July,Saturday,4
189,2012-07-08,0.0,28.3,14.4,2.8,rain,2012,July,Sunday,2
190,2012-07-09,1.5,25.0,12.8,2.0,rain,2012,July,Monday,2
191,2012-07-10,0.0,23.9,11.1,2.3,drizzle,2012,July,Tuesday,0
192,2012-07-11,0.0,27.8,13.3,2.9,fog,2012,July,Wednesday,1
193,2012-07-12,0.0,25.6,13.3,2.7,drizzle,2012,July,Thursday,0
194,2012-07-13,0.5,23.3,13.9,2.2,rain,2012,July,Friday,2
195,2012-07-14,0.0,25.0,15.0,2.2,rain,2012,July,Saturday,2
196,2012-07-15,0.0,18.9,13.3,3.8,rain,2012,July,Sunday,2
197,2012-07-16,0.3,26.1,13.3,2.5,rain,2012,July,Monday,2
198,2012-07-17,0.0,21.7,15.0,2.6,sun,2012,July,Tuesday,4
199,2012-07-18,0.0,21.1,14.4,2.9,sun,2012,July,Wednesday,4
200,2012-07-19,0.0,25.0,14.4,2.2,sun,2012,July,Thursday,4
201,2012-07-20,15.2,19.4,13.9,4.0,rain,2012,July,Friday,2
202,2012-07-21,0.0,23.9,13.9,2.3,sun,2012,July,Saturday,4
203,2012-07-22,1.0,20.6,12.2,3.9,rain,2012,July,Sunday,2
204,2012-07-23,0.0,18.9,11.1,3.3,rain,2012,July,Monday,2
205,2012-07-24,0.0,23.3,12.2,4.3,sun,2012,July,Tuesday,4
206,2012-07-25,0.0,26.7,12.8,2.6,sun,2012,July,Wednesday,4
207,2012-07-26,0.0,25.6,12.8,2.2,drizzle,2012,July,Thursday,0
208,2012-07-27,0.0,18.9,13.9,2.8,drizzle,2012,July,Friday,0
209,2012-07-28,0.0,22.2,13.3,1.7,drizzle,2012,July,Saturday,0
210,2012-07-29,0.0,22.8,15.0,2.0,sun,2012,July,Sunday,4
211,2012-07-30,0.0,19.4,13.3,3.0,sun,2012,July,Monday,4
212,2012-07-31,0.0,22.8,13.9,2.8,sun,2012,July,Tuesday,4
213,2012-08-01,0.0,23.9,13.3,2.2,drizzle,2012,August,Wednesday,0
214,2012-08-02,0.0,23.3,12.2,2.5,sun,2012,August,Thursday,4
215,2012-08-03,0.0,27.2,12.8,3.9,sun,2012,August,Friday,4
216,2012-08-04,0.0,33.9,16.7,3.7,sun,2012,August,Saturday,4
217,2012-08-05,0.0,33.9,17.8,1.9,sun,2012,August,Sunday,4
218,2012-08-06,0.0,28.3,15.6,2.5,rain,2012,August,Monday,2
219,2012-08-07,0.0,21.1,15.0,2.6,drizzle,2012,August,Tuesday,0
220,2012-08-08,0.0,22.2,15.0,3.1,sun,2012,August,Wednesday,4
221,2012-08-09,0.0,24.4,14.4,3.8,drizzle,2012,August,Thursday,0
222,2012-08-10,0.0,25.6,12.2,2.3,sun,2012,August,Friday,4
223,2012-08-11,0.0,28.3,13.3,2.5,sun,2012,August,Saturday,4
224,2012-08-12,0.0,30.6,15.0,3.0,sun,2012,August,Sunday,4
225,2012-08-13,0.0,30.6,15.0,2.8,sun,2012,August,Monday,4
226,2012-08-14,0.0,28.9,13.9,2.8,sun,2012,August,Tuesday,4
227,2012-08-15,0.0,31.1,16.7,4.7,sun,2012,August,Wednesday,4
228,2012-08-16,0.0,34.4,18.3,2.8,sun,2012,August,Thursday,4
229,2012-08-17,0.0,32.8,16.1,1.8,sun,2012,August,Friday,4
230,2012-08-18,0.0,21.7,14.4,3.0,drizzle,2012,August,Saturday,0
231,2012-08-19,0.0,23.3,15.0,2.7,drizzle,2012,August,Sunday,0
232,2012-08-20,0.0,25.6,15.0,1.9,sun,2012,August,Monday,4
233,2012-08-21,0.0,23.3,13.3,3.0,rain,2012,August,Tuesday,2
234,2012-08-22,0.0,22.2,13.3,2.3,sun,2012,August,Wednesday,4
235,2012-08-23,0.0,21.1,13.9,3.8,sun,2012,August,Thursday,4
236,2012-08-24,0.0,22.2,10.0,3.3,sun,2012,August,Friday,4
237,2012-08-25,0.0,26.1,11.7,3.2,sun,2012,August,Saturday,4
238,2012-08-26,0.0,21.1,12.2,3.4,sun,2012,August,Sunday,4
239,2012-08-27,0.0,23.9,13.3,1.8,sun,2012,August,Monday,4
240,2012-08-28,0.0,22.8,12.2,3.2,sun,2012,August,Tuesday,4
241,2012-08-29,0.0,22.8,13.3,2.4,sun,2012,August,Wednesday,4
242,2012-08-30,0.0,22.8,12.8,1.9,sun,2012,August,Thursday,4
243,2012-08-31,0.0,22.2,10.6,2.9,sun,2012,August,Friday,4
244,2012-09-01,0.0,21.7,10.6,2.1,sun,2012,September,Saturday,4
245,2012-09-02,0.0,21.1,10.0,2.0,sun,2012,September,Sunday,4
246,2012-09-03,0.0,22.8,12.8,3.3,sun,2012,September,Monday,4
247,2012-09-04,0.0,24.4,11.1,3.1,sun,2012,September,Tuesday,4
248,2012-09-05,0.0,26.1,11.7,2.6,sun,2012,September,Wednesday,4
249,2012-09-06,0.0,28.3,14.4,4.2,sun,2012,September,Thursday,4
250,2012-09-07,0.0,32.2,13.3,3.1,sun,2012,September,Friday,4
251,2012-09-08,0.0,25.0,13.3,3.0,sun,2012,September,Saturday,4
252,2012-09-09,0.3,18.9,13.9,5.0,rain,2012,September,Sunday,2
253,2012-09-10,0.3,20.0,11.7,3.9,rain,2012,September,Monday,2
254,2012-09-11,0.0,20.0,8.9,4.2,sun,2012,September,Tuesday,4
255,2012-09-12,0.0,22.2,10.0,5.6,sun,2012,September,Wednesday,4
256,2012-09-13,0.0,27.8,11.7,3.6,sun,2012,September,Thursday,4
257,2012-09-14,0.0,26.1,11.1,1.5,sun,2012,September,Friday,4
258,2012-09-15,0.0,22.2,11.1,1.9,sun,2012,September,Saturday,4
259,2012-09-16,0.0,24.4,9.4,2.3,sun,2012,September,Sunday,4
260,2012-09-17,0.0,27.8,11.7,2.2,fog,2012,September,Monday,1
261,2012-09-18,0.0,27.8,11.7,1.4,sun,2012,September,Tuesday,4
262,2012-09-19,0.0,23.9,11.7,1.9,drizzle,2012,September,Wednesday,0
263,2012-09-20,0.0,19.4,10.0,2.5,drizzle,2012,September,Thursday,0
264,2012-09-21,0.0,16.1,12.8,2.1,drizzle,2012,September,Friday,0
265,2012-09-22,0.3,19.4,11.7,1.1,rain,2012,September,Saturday,2
266,2012-09-23,0.0,19.4,10.0,1.4,fog,2012,September,Sunday,1
267,2012-09-24,0.0,21.1,10.0,1.8,fog,2012,September,Monday,1
268,2012-09-25,0.0,19.4,11.1,1.7,sun,2012,September,Tuesday,4
269,2012-09-26,0.0,19.4,9.4,1.7,drizzle,2012,September,Wednesday,0
270,2012-09-27,0.0,22.8,10.0,1.7,drizzle,2012,September,Thursday,0
271,2012-09-28,0.0,25.0,12.2,1.1,rain,2012,September,Friday,2
272,2012-09-29,0.0,20.6,12.2,4.3,sun,2012,September,Saturday,4
273,2012-09-30,0.0,21.1,7.8,3.1,sun,2012,September,Sunday,4
274,2012-10-01,0.0,23.3,8.9,3.0,sun,2012,October,Monday,4
275,2012-10-02,0.0,17.8,10.0,4.1,sun,2012,October,Tuesday,4
276,2012-10-03,0.0,18.9,7.8,7.3,sun,2012,October,Wednesday,4
277,2012-10-04,0.0,18.9,8.3,6.5,sun,2012,October,Thursday,4
278,2012-10-05,0.0,21.7,8.9,5.7,sun,2012,October,Friday,4
279,2012-10-06,0.0,23.9,7.8,5.1,sun,2012,October,Saturday,4
280,2012-10-07,0.0,23.9,7.8,1.3,sun,2012,October,Sunday,4
281,2012-10-08,0.0,21.1,7.8,1.9,sun,2012,October,Monday,4
282,2012-10-09,0.0,16.1,8.9,1.6,drizzle,2012,October,Tuesday,0
283,2012-10-10,0.0,12.2,8.3,1.4,drizzle,2012,October,Wednesday,0
284,2012-10-11,0.0,13.9,7.2,1.3,drizzle,2012,October,Thursday,0
285,2012-10-12,2.0,13.9,8.9,4.6,rain,2012,October,Friday,2
286,2012-10-13,4.8,15.6,12.2,3.9,rain,2012,October,Saturday,2
287,2012-10-14,16.5,17.8,13.3,3.4,rain,2012,October,Sunday,2
288,2012-10-15,7.9,17.2,11.1,4.6,rain,2012,October,Monday,2
289,2012-10-16,0.0,16.1,8.3,5.5,sun,2012,October,Tuesday,4
290,2012-10-17,0.0,14.4,6.1,1.6,sun,2012,October,Wednesday,4
291,2012-10-18,20.8,17.8,6.7,2.0,rain,2012,October,Thursday,2
292,2012-10-19,4.8,15.0,9.4,5.3,rain,2012,October,Friday,2
293,2012-10-20,0.5,11.1,6.1,5.7,rain,2012,October,Saturday,2
294,2012-10-21,6.4,11.7,4.4,2.7,rain,2012,October,Sunday,2
295,2012-10-22,8.9,7.8,3.3,2.6,rain,2012,October,Monday,2
296,2012-10-23,0.0,11.1,5.6,3.0,rain,2012,October,Tuesday,2
297,2012-10-24,7.1,11.7,6.1,2.1,rain,2012,October,Wednesday,2
298,2012-10-25,0.0,11.7,6.7,1.5,sun,2012,October,Thursday,4
299,2012-10-26,1.5,11.1,7.2,2.5,rain,2012,October,Friday,2
300,2012-10-27,23.1,14.4,9.4,5.1,rain,2012,October,Saturday,2
301,2012-10-28,6.1,14.4,10.0,3.8,rain,2012,October,Sunday,2
302,2012-10-29,10.9,15.6,10.0,4.9,rain,2012,October,Monday,2
303,2012-10-30,34.5,15.0,12.2,2.8,rain,2012,October,Tuesday,2
304,2012-10-31,14.5,15.6,11.1,2.7,rain,2012,October,Wednesday,2
305,2012-11-01,9.7,15.0,10.6,3.0,rain,2012,November,Thursday,2
306,2012-11-02,5.6,15.0,10.6,1.0,rain,2012,November,Friday,2
307,2012-11-03,0.5,15.6,11.1,3.6,rain,2012,November,Saturday,2
308,2012-11-04,8.1,17.8,12.8,3.8,rain,2012,November,Sunday,2
309,2012-11-05,0.8,15.0,7.8,4.0,rain,2012,November,Monday,2
310,2012-11-06,0.3,12.8,6.7,3.5,rain,2012,November,Tuesday,2
311,2012-11-07,0.0,12.2,3.9,3.4,rain,2012,November,Wednesday,2
312,2012-11-08,0.0,10.0,1.1,3.4,rain,2012,November,Thursday,2
313,2012-11-09,0.0,8.9,1.1,2.0,rain,2012,November,Friday,2
314,2012-11-10,0.0,7.8,-0.6,2.2,sun,2012,November,Saturday,4
315,2012-11-11,15.2,8.9,1.1,3.0,rain,2012,November,Sunday,2
316,2012-11-12,3.6,12.8,6.1,3.0,rain,2012,November,Monday,2
317,2012-11-13,5.3,11.1,7.8,2.5,rain,2012,November,Tuesday,2
318,2012-11-14,0.8,11.1,5.0,2.6,rain,2012,November,Wednesday,2
319,2012-11-15,0.0,9.4,2.8,2.4,drizzle,2012,November,Thursday,0
320,2012-11-16,5.6,9.4,2.2,1.6,rain,2012,November,Friday,2
321,2012-11-17,6.1,12.2,6.1,5.3,rain,2012,November,Saturday,2
322,2012-11-18,7.9,10.0,6.1,4.9,rain,2012,November,Sunday,2
323,2012-11-19,54.1,13.3,8.3,6.0,rain,2012,November,Monday,2
324,2012-11-20,3.8,11.1,7.2,4.2,rain,2012,November,Tuesday,2
325,2012-11-21,11.2,8.3,3.9,5.5,rain,2012,November,Wednesday,2
326,2012-11-22,0.0,8.9,2.8,1.5,rain,2012,November,Thursday,2
327,2012-11-23,32.0,9.4,6.1,2.4,rain,2012,November,Friday,2
328,2012-11-24,0.0,8.9,3.9,1.2,rain,2012,November,Saturday,2
329,2012-11-25,0.0,8.3,1.1,3.6,drizzle,2012,November,Sunday,0
330,2012-11-26,0.0,9.4,1.7,3.8,fog,2012,November,Monday,1
331,2012-11-27,0.0,10.0,1.7,1.5,sun,2012,November,Tuesday,4
332,2012-11-28,2.8,9.4,2.2,2.9,rain,2012,November,Wednesday,2
333,2012-11-29,1.5,12.8,7.8,4.2,rain,2012,November,Thursday,2
334,2012-11-30,35.6,15.0,7.8,4.6,rain,2012,November,Friday,2
335,2012-12-01,4.1,13.3,8.3,5.5,rain,2012,December,Saturday,2
336,2012-12-02,19.6,8.3,7.2,6.2,rain,2012,December,Sunday,2
337,2012-12-03,13.0,9.4,7.2,4.4,rain,2012,December,Monday,2
338,2012-12-04,14.2,11.7,7.2,6.2,rain,2012,December,Tuesday,2
339,2012-12-05,1.5,8.9,4.4,5.0,rain,2012,December,Wednesday,2
340,2012-12-06,1.5,7.2,6.1,5.1,rain,2012,December,Thursday,2
341,2012-12-07,1.0,7.8,3.3,4.6,rain,2012,December,Friday,2
342,2012-12-08,0.0,6.7,3.3,2.0,sun,2012,December,Saturday,4
343,2012-12-09,1.5,6.7,2.8,2.1,rain,2012,December,Sunday,2
344,2012-12-10,0.5,7.2,5.6,1.8,rain,2012,December,Monday,2
345,2012-12-11,3.0,7.8,5.6,4.5,rain,2012,December,Tuesday,2
